Date,USD_by_INR,GBP_by_INR,EUR_by_INR
20080212,39.73817913,77.63431396,57.82501202
20080213,39.75386031,78.12583801,58.03882643
20080214,39.69140914,78.38049801,58.10656349
20080215,39.73035608,78.06226857,58.35446304
20080218,39.83415281,77.80342117,58.35540573
20080219,39.98370658,78.11971442,58.99871728
20080220,40.28964827,78.37235697,59.10334248
20080221,40.01376842,78.4373299,59.01904421
20080222,40.05253502,78.88995948,59.52522892
20080225,40.04225724,78.81991632,59.38570726
20080226,39.966773,78.9844549,59.50178109
20080227,39.87052379,79.27403265,60.03691532
20080228,39.93633242,79.41819201,60.44380602
20080229,40.07672056,79.53761321,60.84080755
20080303,40.46834211,80.42139262,61.58115265
20080304,40.38303998,80.309649,61.46347425
20080305,40.40433796,79.99614568,61.45544838
20080306,40.36033128,81.05151625,61.88540683
20080307,40.56723139,81.89168509,62.60057919
20080310,40.57193946,81.94218872,62.29514966
20080311,40.50539441,81.58131981,62.35109311
20080312,40.3881468,81.64461537,62.56678086
20080313,40.50894424,82.50400674,63.15937986
20080314,40.52571651,82.26539509,63.12062841
20080317,40.79344768,81.98247064,64.39100521
20080318,40.58129045,81.97862432,64.06018431
20080319,40.31224776,80.5941796,63.31672132
20080320,40.4364237,80.23248003,62.42300908
20080325,40.19063274,80.2162541,62.63090162
20080326,40.04278025,79.92354533,62.96562463
20080327,40.13942621,81.03872932,63.42293905
20080328,39.85756386,79.71625292,63.01747341
20080331,40.09411803,79.76625394,63.45569141
20080401,40.0495643,79.61195914,62.77585877
20080402,40.05771298,79.51602311,62.67636519
20080403,40.13128655,79.65731028,62.36569473
20080404,40.09317021,80.35032718,63.09301672
20080407,40.04345855,79.71198124,62.89855447
20080408,40.00310891,78.83277547,62.83917824
20080409,40.08762654,79.13063975,63.1003426
20080410,39.93849057,79.24544315,63.46122918
20080411,40.0468601,79.1909317,63.46507314
20080414,39.98618435,79.55836964,63.51300075
20080415,40.0476957,78.85283266,63.44635479
20080416,39.91039451,78.96124663,63.62830739
20080417,39.96293962,79.21963656,63.48807871
20080418,39.87581798,79.68205447,62.98247366
20080421,39.94679154,79.4164053,63.56638289
