caldt,vwretd,ewretd
20020325,-0.014666,-0.014655
20020326,0.006046,0.006599
20020327,0.005254,0.009243
20020328,0.002583,0.005948
20020401,-0.000999,-0.001224
20020402,-0.008658,-0.010454
20020403,-0.009776,-0.011232
20020404,0.001000,0.001575
20020405,-0.003192,-0.000112
20020408,0.002530,0.005626
20020409,-0.006702,-0.003339
20020410,0.011442,0.012114
20020411,-0.023710,-0.018495
20020412,0.006876,0.008455
20020415,-0.007853,-0.004182
20020416,0.023345,0.022682
20020417,-0.002029,-0.000327
20020418,-0.001398,-0.003711
20020419,0.000539,0.000731
20020422,-0.015422,-0.014082
20020423,-0.006123,-0.002426
20020424,-0.007063,-0.007129
20020425,-0.001517,-0.001457
20020426,-0.013818,-0.012198
20020429,-0.010141,-0.010345
20020430,0.010847,0.013375
20020501,0.008925,0.004175
20020502,-0.001734,-0.002019
20020503,-0.010451,-0.009151
20020506,-0.019450,-0.018291
20020507,-0.002952,-0.002585
20020508,0.037788,0.034783
20020509,-0.014460,-0.012220
20020510,-0.016821,-0.018931
20020513,0.018679,0.014319
20020514,0.021276,0.021597
20020515,-0.005372,-0.000947
20020516,0.006578,0.000107
20020517,0.007805,0.003537
20020520,-0.013184,-0.009696
20020521,-0.011091,-0.010475
20020522,0.005714,0.003853
20020523,0.010188,0.011429
20020524,-0.012328,-0.008670
20020528,-0.008518,-0.007268
20020529,-0.006336,-0.007011
20020530,-0.002672,-0.003820
20020531,0.002237,0.003381
20020603,-0.024940,-0.025582
20020604,0.000107,-0.002094
20020605,0.009320,0.007449
20020606,-0.019822,-0.018486
20020607,-0.001541,0.000870
20020610,0.003388,0.002453
20020611,-0.016832,-0.016647
20020612,0.007003,-0.000803
20020613,-0.010478,-0.010330
20020614,-0.002059,-0.003489
20020617,0.028667,0.028118
20020618,0.000922,-0.000716
20020619,-0.016438,-0.015319
20020620,-0.013499,-0.013000
20020621,-0.017192,-0.013391
20020624,0.003660,0.000288
20020625,-0.016880,-0.018453
20020626,-0.002113,-0.009541
20020627,0.017584,0.015844
20020628,-0.001056,0.008363
20020701,-0.021581,-0.024328
20020702,-0.020974,-0.028668
20020703,0.006183,0.003226
20020705,0.036595,0.038793
20020708,-0.011932,-0.015062
20020709,-0.024767,-0.022990
20020710,-0.033393,-0.030478
20020711,0.007641,0.007537
20020712,-0.006273,-0.003565
20020715,-0.003375,-0.002432
20020716,-0.018340,-0.016894
20020717,0.005465,-0.001902
20020718,-0.027241,-0.024511
20020719,-0.037927,-0.036163
20020722,-0.032844,-0.028470
20020723,-0.026760,-0.032285
20020724,0.057542,0.053685
20020725,-0.005820,-0.008148
20020726,0.017081,0.006441
20020729,0.054305,0.058807
20020730,0.004326,0.008924
20020731,0.009925,-0.000594
20020801,-0.029658,-0.023171
20020802,-0.022840,-0.028796
20020805,-0.034296,-0.035149
20020806,0.029966,0.034456
20020807,0.020292,0.012526
20020808,0.032877,0.028844
20020809,0.003697,0.004148
20020812,-0.005182,-0.004881
20020813,-0.021695,-0.022544
20020814,0.040440,0.036640
20020815,0.011657,0.015179
20020816,-0.001582,0.000958
20020819,0.023689,0.024616
20020820,-0.013980,-0.012055
20020821,0.012766,0.016271
20020822,0.014220,0.019029
20020823,-0.022817,-0.021633
20020826,0.007715,0.011075
20020827,-0.013954,-0.014125
20020828,-0.018000,-0.021622
20020829,-0.000004,0.001687
20020830,-0.001838,-0.002013
20020903,-0.041727,-0.038159
20020904,0.017871,0.018500
20020905,-0.015924,-0.014778
20020906,0.016807,0.017740
20020909,0.010307,0.008298
20020910,0.007354,0.005504
20020911,0.000054,0.002450
20020912,-0.024602,-0.024451
20020913,0.003242,0.000533
20020916,0.001554,-0.005813
20020917,-0.019901,-0.021503
